countType,count,recentRound,recentDate,no1,no2,no3,no4
2,9,1156,20250125,34,41,,
2,9,1220,20260418,34,43,,
2,9,1153,20250104,35,44,,
2,9,1150,20241214,35,45,,
2,9,1209,20260131,37,39,,
2,9,1208,20260124,38,42,,
2,9,1172,20250517,42,44,,
2,9,1111,20240316,43,45,,
2,8,1128,20240713,1,8,,
2,8,1131,20240803,1,14,,
2,8,1210,20260207,1,17,,
2,8,1182,20250726,1,21,,
2,8,1081,20230819,1,24,,
2,8,1106,20240210,1,29,,
2,8,1032,20220910,1,36,,
2,8,1036,20221008,2,5,,
2,8,977,20210821,2,10,,
2,8,1120,20240518,2,26,,
2,8,1145,20241109,2,44,,
2,8,1175,20250607,3,8,,
2,8,1203,20251220,3,18,,
2,8,1122,20240601,3,21,,
2,8,1218,20260404,3,32,,
2,8,1203,20251220,3,35,,
2,8,1137,20240914,4,9,,
2,8,1222,20260502,4,22,,
2,8,1126,20240629,4,40,,
2,8,1043,20221126,5,22,,
2,8,1042,20221119,5,23,,
2,8,1197,20251108,5,28,,
2,8,1187,20250830,5,29,,
2,8,1173,20250524,5,30,,
2,8,1036,20221008,5,32,,
2,8,1173,20250524,5,35,,
2,8,1212,20260221,5,44,,
2,8,1078,20230729,6,10,,
2,8,1091,20231028,6,20,,
2,8,1178,20250628,6,43,,
2,8,1157,20250201,7,20,,
2,8,1190,20250920,7,23,,
2,8,1157,20250201,7,25,,
2,8,1197,20251108,7,28,,
2,8,1172,20250517,7,40,,
2,8,1217,20260328,8,20,,
2,8,1212,20260221,8,41,,
2,8,1151,20241221,9,15,,
2,8,1190,20250920,9,23,,
2,8,1201,20251206,9,36,,
2,8,1172,20250517,9,44,,
2,8,1190,20250920,9,45,,
2,8,1109,20240302,10,12,,
2,8,1214,20260307,10,30,,
2,8,1155,20250118,10,37,,
2,8,1147,20241123,11,26,,
2,8,1171,20250510,12,17,,
2,8,1044,20221203,12,28,,
2,8,1115,20240413,12,32,,
2,8,1141,20241012,12,35,,
2,8,1115,20240413,12,36,,
2,8,1202,20251213,12,37,,
2,8,1103,20240120,12,44,,
2,8,1215,20260314,13,15,,
2,8,1057,20230304,13,27,,
2,8,1170,20250503,13,34,,
2,8,1153,20250104,13,35,,
2,8,1026,20220730,13,41,,
2,8,1170,20250503,13,42,,
2,8,1181,20250719,14,20,,
2,8,1087,20230930,14,21,,
2,8,1216,20260321,14,24,,
2,8,911,20200516,14,32,,
2,8,1181,20250719,14,41,,
2,8,1125,20240622,14,44,,
2,8,774,20170930,15,18,,
2,8,1217,20260328,15,29,,
2,8,1214,20260307,15,30,,
2,8,1217,20260328,15,31,,
2,8,1204,20251227,16,30,,
2,8,1112,20240323,16,42,,
2,8,1206,20260110,17,26,,
2,8,1209,20260131,17,37,,
2,8,1223,20260509,18,33,,
2,8,1180,20250712,18,37,,
2,8,1180,20250712,18,40,,
2,8,1190,20250920,19,26,,
2,8,1214,20260307,19,30,,
2,8,1189,20250913,19,37,,
2,8,1074,20230701,20,27,,
2,8,1119,20240511,20,45,,
2,8,1202,20251213,21,40,,
2,8,1207,20260117,22,24,,
2,8,1220,20260418,22,28,,
2,8,1093,20231111,22,30,,
2,8,1055,20230218,22,33,,
2,8,1093,20231111,22,35,,
2,8,1211,20260214,23,40,,
2,8,1166,20250405,23,42,,
2,8,1199,20251122,24,30,,
2,8,1172,20250517,24,42,,
2,8,1213,20260228,25,38,,
2,8,1187,20250830,26,29,,
2,8,1190,20250920,26,45,,
2,8,1159,20250215,27,39,,
2,8,1074,20230701,27,41,,
2,8,1208,20260124,27,42,,
2,8,1185,20250816,28,29,,
2,8,1203,20251220,29,39,,
2,8,1139,20240928,30,40,,
2,8,1208,20260124,30,42,,
2,8,1167,20250412,31,35,,
2,8,1167,20250412,31,40,,
2,8,1158,20250208,32,38,,
2,8,1105,20240203,34,37,,
2,8,1105,20240203,34,40,,
